3.5,1805
9.5,5188
3.25,1827
6.5,3489.75
3.25,1726
0,0
4.333333333,2459
3.25,1736.5
3.25,1838.75
0,2467.666667
14,0
3.5,1849.75
3.25,1802.75
3,1795.25
0,0
4.666666667,2422
0,0
4.333333333,2326.666667
3.25,1777
0,0
8.333333333,4562
0,0
4.333333333,2333.666667
3.25,1758.5
3,1738
12.75,6934
3.25,1772
3.5,1744
3.25,1833.75
3,1727.25
3.25,1767.25
3.75,1864.75
3,1743.25
3.25,1734
0,0
8.333333333,4539.333333
3.25,1812.25
3.25,1796.5
6.75,3606.75
0,0
4.333333333,2363.666667
6.25,3508.25
3.25,1744.25
3.25,1771.75
0,0
4.333333333,2500.333333
9.5,5140
3.5,1806.25
0,0
8.666666667,4718.333333
3.5,1854
3,1735.25
3.5,1795.25
3,1782.5
3.5,1841.75
9.5,5205.25
3.25,1709.5
3,1726.75
3.5,1836.25
3.25,1872.5
3.25,1727.25
3.25,1735.5
0,0
4,2371.666667
3.25,1765.75
3.5,1802.5
3,1742
0,0
4.666666667,2519.333333
3.5,1726
0,0
4,2320.666667
0,0
4.666666667,2659
0,0
4.666666667,2373
3.5,1939.5
6.25,3386.5
3.25,1792.25
3.75,2050.5
3.75,2033
3.25,1723.5
0,0
4.333333333,2404.666667
0,0
4.333333333,2331.333333
3.25,1769.5
3.25,1805.5
3.25,1777.75
3.25,1709
21.75,11967.5
6.5,3449.75
6.25,3472.75
0,0
5.666666667,3111.666667
3.25,1807.75
3.25,1769
0,0
12.66666667,6827
3.25,1810
3.5,1750
3.25,1768.75
3,1793
3.5,1826
3,1727.5
0,3455.5
6.5,0
3.25,1796
3.5,1873
3.25,1767.25
0,0
4.333333333,2432.333333
3.5,1807.75
9.25,5110.75
15.5,8356.5
0,0
4,2325.666667
6.5,0
0,3496
6.25,3408.5
3,1718.75
3.5,1821.5
3.25,1844.25
3.25,1724
